,average.loss,average.q,average.reward,episode.avg_reward,episode.max_reward,episode.min_reward,episode.num_of_game,training.learning_rate
20,0.012210993096232414,-2.0911731719970703,-0.02472000010311604,-15.481012344360352,-9.0,-19.0,79.0,0.00025000001187436277
21,0.012336312793195248,-2.0073671340942383,-0.02325999923050404,-14.961038589477539,-1.0,-19.0,77.0,0.00025000001187436277
22,0.013176712207496166,-2.000488519668579,-0.021800000220537186,-14.554054260253904,0.0,-19.0,74.0,0.00025000001187436277
23,0.013396864756941795,-1.968787789344788,-0.021660000085830692,-14.453332901000975,-4.0,-20.0,75.0,0.00025000001187436277
24,0.012805968523025513,-1.920436263084412,-0.02105999924242496,-14.583333015441895,-8.0,-20.0,72.0,0.00025000001187436277
25,0.012265807949006556,-1.8610254526138303,-0.02070000022649765,-14.577465057373047,-8.0,-18.0,71.0,0.00025000001187436277
26,0.013046353124082087,-1.7548282146453855,-0.019300000742077827,-14.37313461303711,-5.0,-20.0,67.0,0.00025000001187436277
27,0.012959150597453116,-1.655423283576965,-0.01961999945342541,-14.567164421081545,-9.0,-19.0,67.0,0.00025000001187436277
28,0.012362330220639706,-1.649952054023743,-0.01696000061929226,-13.396825790405273,-5.0,-19.0,63.0,0.00025000001187436277
29,0.0116468770429492,-1.6450802087783811,-0.015239999629557131,-12.779661178588867,-6.0,-18.0,59.0,0.00025000001187436277
30,0.011288627982139587,-1.5786659717559814,-0.016119999811053276,-13.366666793823242,-7.0,-18.0,60.0,0.00025000001187436277
31,0.012089911848306656,-1.5259112119674685,-0.016119999811053276,-13.43333339691162,-4.0,-19.0,60.0,0.00025000001187436277
32,0.011971796862781048,-1.5419884920120241,-0.016720000654459,-13.68852424621582,-6.0,-18.0,61.0,0.00025000001187436277
